VMTranslator.py, Info, starting version V1.10
VMTranslator.py, Trace, ProgramFlow\FibonacciSeries is a directory !
VMTranslator.py, Trace, 1 VM file(s) to process :
VMTranslator.py, Trace, ['ProgramFlow\\FibonacciSeries\\FibonacciSeries.vm']
VMTranslator.py, Trace, output : ProgramFlow\FibonacciSeries\FibonacciSeries.asm
preProcessVMFile(), Trace, preprocessing ProgramFlow\FibonacciSeries\FibonacciSeries.vm...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, comment or white line...
preProcessVMFile(), Trace, closing [ProgramFlow\FibonacciSeries\FibonacciSeries.vm]...
VMTranslator.py, Trace, 0 function declaration(s) detected...
VMTranslator.py, Trace, processing [ProgramFlow\FibonacciSeries\FibonacciSeries.vm], namespace 'FibonacciSeries'
parseVMFile(), Trace, opening [ProgramFlow\FibonacciSeries\FibonacciSeries.vm]...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, comment or white line...
parseVMFile(), Trace, conversion of [push argument 1]...
